mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,subsample,reg_lambda,reg_alpha,n_estimators,min_child_weight,max_depth,learning_rate,gamma,colsample_bytree,split3_test_score,split4_test_score
7.847494920094808,0.297903774418373,0.0788000424702962,0.0044130266413128,0.6,10.0,0.0,300,5,15,0.05,0.1,0.7,-1593604992.0,-610638016.0,-579683520.0,-927975509.3333334,470840738.3620455,8,0.6,10.0,0.0,300,5,15,0.05,0.1,0.7,,
16.677105983098347,0.5938885289114221,0.1314914226531982,0.0105820931102126,0.9,1.0,0.0,800,10,14,0.07,0.3,0.7,-1591446016.0,-594271488.0,-623360768.0,-936359424.0,463368376.7201213,19,0.9,1.0,0.0,800,10,14,0.07,0.3,0.7,,
19.05698823928833,1.360305021346714,0.1071587403615315,0.0017318867522016,0.8,10.0,10.0,350,1,15,0.05,0.4,0.8,-1620431744.0,-668185472.0,-597355328.0,-961990848.0,466485110.4938772,54,0.8,10.0,10.0,350,1,15,0.05,0.4,0.8,,
2.778532028198242,0.0319326531727601,0.073343276977539,0.0036579841537751,0.7,10.0,0.02,100,5,12,0.01,0.1,0.6,-3157894912.0,-2192402176.0,-2257422336.0,-2535906474.6666665,440612541.3814106,100,0.7,10.0,0.02,100,5,12,0.01,0.1,0.6,,
4.845049460728963,0.0420926756792315,0.0870552062988281,0.003921968958625,0.8,0.0,0.0,550,10,9,0.01,0.3,0.8,-1658668672.0,-652134528.0,-630143040.0,-980315413.3333334,479752202.7351743,68,0.8,0.0,0.0,550,10,9,0.01,0.3,0.8,,
2.6167991956075034,0.0619335254515355,0.0805929501851399,0.0133240550475487,0.6,0.1,0.0,250,1,9,0.1,0.2,0.7,-1620393984.0,-699844672.0,-722564736.0,-1014267797.3333334,428696291.8347885,88,0.6,0.1,0.0,250,1,9,0.1,0.2,0.7,,
6.349742650985718,0.4243854726219329,0.0936304728190104,0.0081560671216997,0.6,10.0,0.02,500,10,13,0.07,0.3,0.7,-1589596544.0,-611580608.0,-612675328.0,-937950826.6666666,460783322.39215255,24,0.6,10.0,0.02,500,10,13,0.07,0.3,0.7,,
3.0852578481038413,0.0602464829539968,0.0735173225402832,0.0084889157190966,1.0,0.1,1.0,350,5,9,0.1,0.0,0.6,-1592491520.0,-633647552.0,-656123392.0,-960754154.6666666,446800003.6665566,51,1.0,0.1,1.0,350,5,9,0.1,0.0,0.6,,
60.82795341809591,1.6915711858976297,0.2228893438975016,0.0076288646507367,0.6,0.1,0.0,950,1,14,0.01,0.5,0.7,-1605226624.0,-648649344.0,-611888512.0,-955254826.6666666,459844424.9155547,42,0.6,0.1,0.0,950,1,14,0.01,0.5,0.7,,
5.555674076080322,0.0442335849834678,0.0880749225616455,0.0071598363739841,0.7,0.0,0.1,550,5,10,0.05,0.5,0.6,-1575381632.0,-609449536.0,-622791424.0,-935874197.3333334,452232846.1749963,17,0.7,0.0,0.1,550,5,10,0.05,0.5,0.6,,
2.457235892613729,0.070489867280317,0.0709685484568278,0.0069833028388937,0.6,10.0,0.0,150,1,11,0.1,0.3,0.8,-1631542656.0,-612680704.0,-627700736.0,-957308032.0,476795306.52795947,45,0.6,10.0,0.0,150,1,11,0.1,0.3,0.8,,
6.374001661936442,0.2604017824905877,0.0983404318491617,0.0149070698154077,0.8,10.0,10.0,550,10,12,0.05,0.4,0.6,-1574090624.0,-584565248.0,-590984768.0,-916546880.0,464961026.3340436,2,0.8,10.0,10.0,550,10,12,0.05,0.4,0.6,,
8.593965371449789,0.2651618393441175,0.1078449090321858,0.0119919578626567,0.8,0.0,1.0,900,1,9,0.1,0.0,0.8,-1635830784.0,-730902336.0,-641497600.0,-1002743573.3333334,449145755.0633074,82,0.8,0.0,1.0,900,1,9,0.1,0.0,0.8,,
