mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,subsample,reg_lambda,reg_alpha,n_estimators,min_child_weight,max_depth,learning_rate,gamma,colsample_bytree
1.178881565729777,0.0028885424788973138,0.07329432169596355,0.006898552815175416,0.7,0.1,0.0,100,1,9,0.1,0.4,0.7,-1670919296.0,-810956416.0,-720144640.0,-1067340117.3333334,428402119.00737566,88,0.7,0.1,0.0,100,1,9,0.1,0.4,0.7
2.816359837849935,0.135175179601839,0.07478014628092448,0.009762583768588578,1.0,0.0,1.0,200,10,11,0.05,0.2,0.8,-1641267456.0,-685141760.0,-626032576.0,-984147264.0,465280334.1061344,49,1.0,0.0,1.0,200,10,11,0.05,0.2,0.8
35.49243982632955,0.5943452187020383,0.17673095067342123,0.007297955232018821,1.0,10.0,0.1,900,10,16,0.01,0.2,0.8,-1649638400.0,-648987776.0,-615527680.0,-971384618.6666666,479792342.8774898,37,1.0,10.0,0.1,900,10,16,0.01,0.2,0.8
28.1927965482076,0.18588544639513124,0.14729722340901694,0.007911468189054114,0.8,10.0,0.1,750,10,16,0.01,0.2,0.8,-1668901248.0,-677071808.0,-614867776.0,-986946944.0,482882725.55377084,51,0.8,10.0,0.1,750,10,16,0.01,0.2,0.8
0.6459192434946696,0.01287895347300114,0.06538176536560059,0.00666713186845501,0.9,1.0,0.0,150,10,6,0.1,0.5,0.7,-1695969024.0,-700004096.0,-659254336.0,-1018409152.0,479395919.07837975,78,0.9,1.0,0.0,150,10,6,0.1,0.5,0.7
17.081703344980877,1.2259519681740711,0.10747687021891277,0.011231158464857255,1.0,0.1,10.0,300,5,13,0.01,0.0,0.7,-1717676416.0,-737570112.0,-675751616.0,-1043666048.0,477265030.31372905,85,1.0,0.1,10.0,300,5,13,0.01,0.0,0.7
3.8802525202433267,0.18040542608418308,0.10430288314819336,0.012926524648990696,0.9,0.1,0.1,850,5,7,0.05,0.0,0.6,-1585266816.0,-637369856.0,-598639616.0,-940425429.3333334,456245780.503781,2,0.9,0.1,0.1,850,5,7,0.05,0.0,0.6
18.682963291803997,1.067127441824405,0.10836180051167806,0.011327834484671503,0.6,0.1,1.0,300,1,14,0.07,0.1,0.7,-1634714240.0,-765821440.0,-687376576.0,-1029304085.3333334,429285833.8388946,82,0.6,0.1,1.0,300,1,14,0.07,0.1,0.7
2.50966469446818,0.020807426748867312,0.0862119197845459,0.0004862014068822447,0.9,0.0,10.0,400,5,8,0.07,0.5,0.7,-1601354880.0,-651838976.0,-615329344.0,-956174400.0,456454909.88484037,20,0.9,0.0,10.0,400,5,8,0.07,0.5,0.7
4.664005994796753,0.10007574463412472,0.10525107383728027,0.017193908250178545,0.9,0.0,0.02,650,1,8,0.05,0.2,0.8,-1619424000.0,-739054208.0,-610421376.0,-989633194.6666666,448414945.6540534,54,0.9,0.0,0.02,650,1,8,0.05,0.2,0.8
22.043212016423542,0.7660488609101463,0.1355761686960856,0.0037462532836401528,0.9,10.0,0.1,750,1,12,0.07,0.0,0.8,-1638774656.0,-653503936.0,-601425216.0,-964567936.0,477209998.66521263,29,0.9,10.0,0.1,750,1,12,0.07,0.0,0.8
5.943384488423665,0.09205259119930077,0.10098075866699219,0.005617775483936566,0.9,10.0,0.0,650,1,9,0.01,0.5,0.8,-1722091520.0,-735023168.0,-655277632.0,-1037464106.6666666,485198144.365509,84,0.9,10.0,0.0,650,1,9,0.01,0.5,0.8
19.452497720718384,0.029768020889117383,0.11780166625976562,0.014084309219422587,0.6,10.0,10.0,350,5,16,0.01,0.5,0.7,-1810272896.0,-803507520.0,-763327040.0,-1125702485.3333333,484342236.51842445,94,0.6,10.0,10.0,350,5,16,0.01,0.5,0.7
6.908325831095378,0.21200471561716294,0.09298451741536458,0.006501427661769438,0.9,0.1,0.02,450,5,11,0.1,0.1,0.7,-1650972160.0,-717603776.0,-651521152.0,-1006699029.3333334,456368000.9765162,71,0.9,0.1,0.02,450,5,11,0.1,0.1,0.7
18.96256136894226,1.7381952548793225,0.11682677268981934,0.006869021530473982,1.0,10.0,10.0,500,5,16,0.05,0.5,0.8,-1640628352.0,-662357888.0,-603970112.0,-968985450.6666666,475521063.87284946,35,1.0,10.0,10.0,500,5,16,0.05,0.5,0.8
2.9628611405690513,0.10400739257400225,0.09382883707682292,0.004805289983525499,1.0,0.1,10.0,800,5,6,0.1,0.4,0.7,-1600812288.0,-659910592.0,-604666112.0,-955129664.0,457123270.2778406,18,1.0,0.1,10.0,800,5,6,0.1,0.4,0.7
7.925310770670573,0.1023966122036283,0.09006659189860027,0.0021143795381523005,0.6,10.0,0.0,300,5,15,0.05,0.1,0.7,-1624110336.0,-642519872.0,-592061312.0,-952897173.3333334,475066205.12097067,14,0.6,10.0,0.0,300,5,15,0.05,0.1,0.7
16.521134455998737,0.34224520802820274,0.13160006205240884,0.005690204843891702,0.9,1.0,0.0,800,10,14,0.07,0.3,0.7,-1608161152.0,-640341440.0,-617997376.0,-955499989.3333334,461591276.0867294,19,0.9,1.0,0.0,800,10,14,0.07,0.3,0.7
19.347917556762695,1.5842002966338704,0.1149746576944987,0.011967673835327555,0.8,10.0,10.0,350,1,15,0.05,0.4,0.8,-1656670848.0,-649324928.0,-594883776.0,-966959850.6666666,488205492.69044334,33,0.8,10.0,10.0,350,1,15,0.05,0.4,0.8
2.6375350952148438,0.0720252107767216,0.07373404502868652,0.006883523255850251,0.7,10.0,0.02,100,5,12,0.01,0.1,0.6,-3165283072.0,-2214480640.0,-2252405248.0,-2544056320.0,439546415.4658683,100,0.7,10.0,0.02,100,5,12,0.01,0.1,0.6
4.628012180328369,0.06033008288113549,0.09648370742797852,0.0010180924098140013,0.8,0.0,0.0,550,10,9,0.01,0.3,0.8,-1685685376.0,-693597632.0,-646848832.0,-1008710613.3333334,479073748.3526952,73,0.8,0.0,0.0,550,10,9,0.01,0.3,0.8
2.425197203954061,0.006543568044191659,0.08312312761942546,0.008561003770506944,0.6,0.1,0.0,250,1,9,0.1,0.2,0.7,-1632324864.0,-805612416.0,-651887488.0,-1029941589.3333334,430547748.4714511,83,0.6,0.1,0.0,250,1,9,0.1,0.2,0.7
6.149693568547566,0.38762559960012927,0.09784913063049316,0.0020765555016209218,0.6,10.0,0.02,500,10,13,0.07,0.3,0.7,-1620333824.0,-639873024.0,-610216192.0,-956807680.0,469340025.8161813,21,0.6,10.0,0.02,500,10,13,0.07,0.3,0.7
2.892230272293091,0.04068696540672996,0.08458582560221355,0.0037703025737061352,1.0,0.1,1.0,350,5,9,0.1,0.0,0.6,-1621182976.0,-690960704.0,-640179840.0,-984107840.0,450956923.8254806,48,1.0,0.1,1.0,350,5,9,0.1,0.0,0.6
63.82811212539673,1.3430836567274125,0.22928198178609213,0.011994351113709632,0.6,0.1,0.0,950,1,14,0.01,0.5,0.7,-1613255296.0,-683548992.0,-615077696.0,-970627328.0,455265569.77646697,36,0.6,0.1,0.0,950,1,14,0.01,0.5,0.7
5.494803349177043,0.1512742928305381,0.0935370922088623,0.005464849271965418,0.7,0.0,0.1,550,5,10,0.05,0.5,0.6,-1600615680.0,-634328768.0,-616197440.0,-950380629.3333334,459845192.8641296,12,0.7,0.0,0.1,550,5,10,0.05,0.5,0.6
2.3398823738098145,0.055135462111444725,0.07288893063863118,0.0026326374719108587,0.6,10.0,0.0,150,1,11,0.1,0.3,0.8,-1670567168.0,-682763712.0,-625351488.0,-992894122.6666666,479760084.58719736,57,0.6,10.0,0.0,150,1,11,0.1,0.3,0.8
6.314285675684611,0.2742662136345855,0.09381699562072754,0.006373635062139784,0.8,10.0,10.0,550,10,12,0.05,0.4,0.6,-1603629056.0,-621480000.0,-599442304.0,-941517120.0,468270275.8425581,4,0.8,10.0,10.0,550,10,12,0.05,0.4,0.6
8.922567049662272,0.2787854268475069,0.1053614616394043,0.0016128628670418238,0.8,0.0,1.0,900,1,9,0.1,0.0,0.8,-1650466432.0,-883156288.0,-625245888.0,-1052956202.6666666,435425691.4985759,87,0.8,0.0,1.0,900,1,9,0.1,0.0,0.8
5.069459438323975,0.12400043829263585,0.07956965764363606,0.004079352693811589,0.9,10.0,10.0,250,5,13,0.07,0.0,0.7,-1634649472.0,-618305088.0,-605670784.0,-952875114.6666666,482114863.3174124,13,0.9,10.0,10.0,250,5,13,0.07,0.0,0.7
2.0420188903808594,0.05262820651383307,0.07422645886739095,0.004921794857619179,0.7,1.0,0.02,200,10,11,0.1,0.4,0.7,-1641227008.0,-690486656.0,-652198656.0,-994637440.0,457474986.43519294,60,0.7,1.0,0.02,200,10,11,0.1,0.4,0.7
8.378617922465006,0.4176841844585996,0.11092321077982585,0.010219349930651798,0.6,0.1,10.0,700,5,11,0.05,0.2,0.6,-1615088128.0,-642058432.0,-616080384.0,-957742314.6666666,464934657.3979464,22,0.6,0.1,10.0,700,5,11,0.05,0.2,0.6
11.037925640741983,0.15520128676953998,0.1030593713124593,0.004251367631861365,0.6,1.0,10.0,550,1,11,0.01,0.0,0.8,-1646507136.0,-709002176.0,-631622272.0,-995710528.0,461265708.7651986,61,0.6,1.0,10.0,550,1,11,0.01,0.0,0.8
